Gene_ID,AJ1,AJ2,AJ3,AJ4,AJ5,AJ6,,,avg-con,avg-si2
DPP8,6.58691,6.60246,5.39604,6.3223,7.33323,7.39072,,,6.195136667,7.015416667
FAM160B2,11.0404,10.8594,10.2744,10.5552,8.75406,8.90624,,,10.72473333,
POLD4,36.6469,39.0318,43.9561,41.0414,38.2227,37.4182,,,,
TIMM50,19.9082,21.668,22.8639,21.8985,21.774,21.8424,,,,
NDUFA6-AS1,0.473241,0.46856,0.447488,0.505621,0.282768,0.464489,,,,
CEP192,7.07953,6.91558,6.06403,5.30861,5.93924,5.69492,,,,
LINC00380,0,0,0,0,0,0,,,,
ATG2B,5.06181,4.50013,4.02395,4.07198,4.26457,4.42334,,,,
METTL8,2.8535,2.83038,2.59989,2.25506,2.23072,2.24582,,,,
CBWD3,7.65424,7.69627,7.70841,6.45029,6.31841,5.90822,,,,
PENK,0,0,0,0,0,0,,,,
MIEF1,5.33425,5.59675,5.29732,8.36198,8.32383,8.54692,,,,
EPO,0.014734,0,0.0160607,0.0311093,0.0608926,0,,,,
SNORD115-13,0,0,0,0,0,0,,,,
TSG1,0,0,0,0,0,0,,,,
IP6K1,12.0201,13.1027,12.1146,16.5618,16.3941,16.671,,,,
ERV3-1,0.615546,0.633215,0.512494,0.792319,0.76806,0.742366,,,,
SMIM2,0,0,0,0,0,0,,,,
SLC5A9,0,0,0,0,0,0,,,,
LINC01356,0.583267,0.488905,0.635788,0.35649,0.274885,0.147899,,,,
EFCAB6-AS1,0,0,0,0,0,0,,,,
PGK2,0.0204551,0.0106616,0.0587831,0.0215945,0.00384259,0,,,,
KIF22,27.8236,29.1035,29.5598,29.4391,30.3383,29.0674,,,,
EIF3H,211.964,217.668,239.08,215.331,214.887,208.554,,,,
PTP4A1,44.7946,48.0721,45.0063,37.8794,40.1852,39.5007,,,,
ATP5J,128.128,127.272,143.438,132.736,132.751,135.154,,,,
GJD3,0.0302101,0.0453638,0.0376348,0.0637858,0.0668853,0.0226827,,,,
CBR4,5.03327,4.51204,4.68707,5.56288,5.67267,6.48147,,,,
CRB2,0.00608566,0.00290757,0,0.00465694,0,0.00579603,,,,
LINC01018,0,0,0,0,0,0,,,,
MKNK2,69.3133,71.1181,74.5825,71.3397,68.548,67.6645,,,,
MIR183,0,0,0,0,0,0,,,,
SLC23A2,4.33988,4.55073,3.80435,4.79683,4.91282,5.23123,,,,
LIMS2,4.62837,4.915,4.81692,6.21177,5.68294,4.72118,,,,
CRADD,8.45019,8.34873,9.588,8.31547,8.36478,7.8675,,,,
PSMF1,25.6784,27.62,26.2687,23.9612,23.1588,23.3152,,,,
CYTH2,24.1161,23.7818,23.6111,26.2202,23.2274,22.2803,,,,
OR2T2,0,0,0,0,0,0,,,,
ESPNP,0.00457588,0,0,0,0,0,,,,
LOC101928495,0,0,0,0,0,0,,,,
CC2D2B,0,0,0,0,0,0,,,,
MIR559,0,0,0,0,0,0,,,,
CCR10,0.462719,0.533642,0.626134,0.404271,0.362683,0.293513,,,,
LINC00951,0,0,0,0,0,0,,,,
ZNF827,2.86318,2.70813,2.23641,2.51742,2.95394,2.8161,,,,
DNAJC3,9.38734,9.20226,8.90017,12.396,13.6269,14.184,,,,
REG1A,0,0,0,0,0,0,,,,
PCMT1,72.7214,75.0171,79.3956,77.3287,78.1597,76.9365,,,,
MIR4523,0,0,0,0,0,0,,,,
KALRN,0.0471536,0.0715777,0.0591674,0.0605976,0.0625331,0.0615555,,,,
GYPB,0,0,0,0,0,0,,,,
LOC101927043,0.212557,0.191585,0.258438,0.469677,0.180523,0.318763,,,,
LINC01111,0.103992,0.0662479,0.151142,0.14638,0.14326,0.121459,,,,
NUP153,36.5994,35.8599,32.0827,32.8734,35.3352,35.6802,,,,
TTLL7,4.32296,4.0252,3.71632,2.86821,3.08034,2.94434,,,,
SCGB3A1,0,0.0610417,0,0,0,0,,,,
FOXP1,8.00453,7.7906,7.78484,8.80706,9.05084,8.9665,,,,
MYCBPAP,0.260706,0.254423,0.126975,0.146398,0.143277,0.160345,,,,
CACNG2,0,0,0,0.00404732,0.00396105,0,,,,
MIS18BP1,17.2309,16.7282,15.1712,14.762,16.5404,16.111,,,,
RNU4ATAC,0,7.60609,0,4.20156,0,0,,,,
C1GALT1C1,24.0769,24.0848,26.2923,27.3078,26.4227,27.6861,,,,
CSNK1A1P1,0.0148765,0.0106616,0.018243,0.0176682,0.0230556,0.0146602,,,,
KCNH5,0.0139821,0.0178148,0.0101605,0.00984039,0.0273755,0.0122476,,,,
TRIM46,0.00596756,0.0228142,0.0455448,0.0294405,0.00616569,0.00784109,,,,
MIR3616,0,0,0,0,0,0,,,,
FOXJ1,0.0136017,0.00649868,0,0.00717967,0.00702664,0.00893599,,,,
ATG7,5.16823,4.8732,5.18633,5.98383,6.12818,5.7659,,,,
NR2F6,29.1349,30.0878,33.6444,33.9516,29.9737,29.7868,,,,
CPSF6,8.79093,8.5311,8.30203,9.2806,9.57628,9.73258,,,,
TOX2,15.3999,14.9256,15.7756,15.8115,14.183,13.2534,,,,
LOC349160,0,0,0,0,0,0,,,,
ING5,2.87435,2.9148,2.70313,2.9242,3.15246,2.87939,,,,
MCM3,52.2567,55.389,50.5115,47.2743,48.6158,47.1702,,,,
TPST2,16.3943,15.9893,17.9935,18.5967,17.268,18.1327,,,,
HSH2D,0.788993,0.94064,0.675739,0.722427,0.856197,0.652691,,,,
SF3B1,88.1427,86.2006,84.2706,78.8988,83.2276,84.9708,,,,
EID1,40.4702,38.3448,40.6296,44.8755,49.79,55.1031,,,,
GAGE2C,0,0.00466584,0.0107733,0.0104338,0.0205432,0,,,,
C4orf36,0.401258,0.451094,0.540305,0.398691,0.341419,0.558248,,,,
BPIFB1,0,0,0,0,0,0,,,,
HIPK3,10.5551,9.71269,8.9017,8.19643,9.45106,10.3703,,,,
NANOGNB,0,0.0225869,0,0,0,0,,,,
RIT2,0,0,0,0,0,0,,,,
POU5F1,0,0,0,0,0,0,,,,
FAM91A1,22.5835,22.4216,21.3915,20.3429,23.5953,24.483,,,,
MTNR1A,0.0368511,0.0176069,0.0602541,0,0,0.0726309,,,,
TTLL2,0,0,0,0,0.00640293,0,,,,
LOC101927164,0.0296528,0.0425029,0,0,0,0.0194812,,,,
LINC00343,0.0201041,0,0,0,0,0,,,,
ATP6V1C2,0.0763802,0.125616,0.0934519,0.127046,0.163462,0.09319,,,,
TECR,114.171,115.971,118.604,95.9902,86.1529,78.3654,,,,
CGB1,0.10085,0.0727791,0.0973353,0.0942686,0.0949729,0.0427906,,,,
SRR,4.0455,4.20009,4.12374,3.49362,3.47941,3.68739,,,,
LOC100996876,0,0,0,0,0,0,,,,
FAIM,6.18865,5.53865,6.26129,6.19567,7.70174,6.9528,,,,
PPFIA4,1.95973,2.02626,1.50988,2.74408,2.41703,2.21099,,,,
POTEJ,0.163938,0.166354,0.166754,0.156189,0.14989,0.157285,,,,
NDUFA2,66.2775,69.7349,77.5542,74.2046,72.7815,69.647,,,,
MICA,0,0,0,0,0,0,,,,
LOC100507651,0,0,0,0,0,0,,,,
GRAPL,0.0108856,0,0,0.0459676,0,0,,,,
JOSD1,28.3079,28.2998,26.998,27.0399,26.8137,26.3193,,,,
LRMP,0,0,0.00698814,0,0,0,,,,
RPS18,0,0,0,0,0,0,,,,
PRAC2,0.439963,0.355832,0.711906,0.172367,0.112463,0.214532,,,,
PLK4,14.4275,13.9946,12.4275,12.4436,14.0662,14.3486,,,,
ATP2B3,0,0,0.00290184,0,0,0,,,,
LSM2,0,0,0,0,0,0,,,,
ARHGAP26-AS1,0.0214884,0.0205336,0.0234233,0,0.0222018,0.0847041,,,,
DAZ3,0,0,0,0,0,0,,,,
DDX58,15.3062,14.0978,14.4304,17.1303,16.3217,17.2344,,,,
C11orf96,0.383766,0.38082,0.547038,0.810286,0.625262,0.678799,,,,
PRR15,0.0112484,0.0107486,0,0.0118749,0.0232436,0.0147798,,,,
MIR4758,0,0,0,0,0,0,,,,
PDK3,5.1242,5.46373,5.35912,3.68174,4.40533,4.14624,,,,
NXF3,0.673095,0.789936,0.740828,0.586407,0.746081,0.605352,,,,
NISCH,20.2658,21.2631,19.1375,20.0421,18.3252,18.8367,,,,
LINC00615,0.1242,0.0659345,0.16547,0.131119,0.0998076,0.0906631,,,,
TENM4,0.00620141,0.0047407,0.00405589,0.00130937,0.00256292,0.00814836,,,,
C1orf226,1.94648,2.0229,1.70749,2.09999,2.01148,1.63661,,,,
SNORD114-6,0,0,0,0,0,0,,,,
WASH7P,14.7526,15.1337,15.6176,16.6695,15.0018,14.5702,,,,
SLC9A3,0,0,0,0.00686191,0,0,,,,
TPTE2P3,0,0.0065716,0,0,0.00710549,0.00903627,,,,
STAT2,19.7877,19.6307,18.4459,18.3943,15.9152,16.3755,,,,
C6orf203,6.25691,6.53535,7.21276,7.41271,7.50938,8.99043,,,,
C20orf194,5.34517,5.57362,4.79844,5.17896,5.13618,5.43698,,,,
ZNF141,2.73082,2.9639,2.40064,2.34124,2.63524,2.70438,,,,
CYLD,6.83642,6.20754,6.38759,6.80174,6.73313,7.0555,,,,
ELF2,13.8718,13.4644,13.2612,8.913,10.1005,9.79358,,,,
USMG5,415.594,420.677,476.513,448.951,437.739,443.488,,,,
INTS10,15.4016,16.1306,17.2535,13.5121,14.664,14.5658,,,,
MRPS9,21.1888,21.0878,23.1256,19.5554,19.2685,18.2131,,,,
HSFX2,0.00166829,0.273775,0.000237938,0.00158144,0.00191341,0.00454409,,,,
MIR3654,0,0,0,0,0,0,,,,
COL4A6,0.271978,0.297019,0.253912,0.319941,0.249666,0.314093,,,,
MIR548W,0,0,0,0,0,0,,,,
SNX1,8.56782,8.47118,8.38154,8.03311,8.03892,8.33447,,,,
RPSAP58,178.029,190.375,210.116,165.474,162.003,159.547,,,,
KLHL11,2.33477,2.29073,1.70235,1.77236,1.98469,2.05203,,,,
RGS8,0,0,0,0,0,0,,,,
CTAGE11P,0.145288,0.124471,0.152165,0.140639,0.0985844,0.0958997,,,,
MIR133A1HG,0,0,0,0,0,0,,,,
AQP1,2.63769,2.49809,2.16967,3.16901,2.92332,2.89921,,,,
PPP1R2P3,1.19182,1.32942,1.38002,1.35612,1.41826,1.70615,,,,
KXD1,64.3662,64.4391,66.6739,61.0005,56.9083,54.4811,,,,
STX5,33.2003,34.2654,35.5142,33.2922,32.3947,32.3645,,,,
REEP4,20.6857,21.5104,21.1292,19.606,16.9347,16.5361,,,,
SAPCD2,10.7968,12.1616,11.2765,8.91716,9.64649,8.96395,,,,
APOB,0.0107029,0,0.00129629,0.00125545,0.00614344,0.00312512,,,,
ISPD,0.330938,0.437883,0.28834,0.384387,0.440501,0.374196,,,,
MIR6852,0,0,0,0,0,0,,,,
TCOF1,20.7263,22.2601,20.252,20.771,20.3434,18.9834,,,,
SEMA4G,0.906936,0.840481,0.752688,0.70806,0.74406,0.671832,,,,
RMND5A,14.283,13.5691,13.6436,11.229,11.5303,11.8839,,,,
SPESP1,0,0,0,0,0,0,,,,
NIF3L1,18.9081,18.574,18.6343,20.6457,19.1097,18.9884,,,,
MIR302D,0,0,0,0,0,0,,,,
ASXL2,8.4336,8.20754,6.4087,6.31084,7.44742,7.16028,,,,
MIR4663,0,0,0,0,0,0,,,,
LOC102467080,0.266861,0.595011,0.24241,0.375635,0.275722,0.292203,,,,
CASC16,0,0,0,0,0,0,,,,
USP17L9P,0,0,0,0,0,0,,,,
MIR4761,0,0,0,0,0,0,,,,
MUC2,0.00393264,0.00939478,0.0128603,0.00207585,0.00406321,0.00775096,,,,
VIM,1131.06,1209.53,1259.82,1131.89,1147.69,1112.55,,,,
ABHD1,0.0400636,0.0893283,0.0727853,0.0422952,0.0551917,0.0526417,,,,
MIR329-2,0,0,0,0,0,0,,,,
E2F1,16.0155,15.8557,15.3378,18.5262,17.9393,17.4331,,,,
SNORD116-23,0,0,0,0,0,0,,,,
ACOT6,0,0,0,0,0.0214497,0.0818347,,,,
EDEM3,11.3933,11.0249,10.7349,12.9279,15.2626,16.4253,,,,
MGC72080,19.1348,21.2257,23.0741,18.5969,17.7392,17.7848,,,,
TMEM260,3.89594,3.82809,3.85543,4.00959,4.29083,4.21319,,,,
C6orf141,1.85577,1.97507,1.90174,2.02953,1.97479,1.76674,,,,
OR4F21,0.00565096,0.0107998,0,0.00596573,0.0175157,0.0074251,,,,
STEAP1B,1.62277,1.49995,1.6199,1.2961,1.35418,1.33486,,,,
LOC101929663,0,0,0,0,0,0,,,,
ARG1,0,0,0,0,0,0,,,,
FOXD1,0.00802835,0.00767164,0.00437563,0,0,0,,,,
FAM63A,5.38226,4.98935,4.90317,5.80846,6.23807,5.93094,,,,
COQ9,15.2512,15.8325,17.3791,13.6019,14.0734,13.7312,,,,
ZNF579,6.83457,8.2241,8.23179,9.36204,7.38405,6.99577,,,,
MIR4714,0,0,0,0,0,0,,,,
C16orf13,46.5471,50.4442,53.3272,44.4009,42.6633,40.8697,,,,
PPP1R1A,0.0101699,0,0,0,0,0.0133627,,,,
PFKFB4,10.7051,10.87,9.72419,11.2694,10.9772,10.4568,,,,
MIR6165,0,0,0,0,0,0,,,,
FGFR4,0.64854,0.659805,0.660659,0.799789,0.806339,0.870807,,,,
NKAP,23.1264,23.9577,26.557,22.4308,22.7591,21.7253,,,,
SHC1,58.7326,62.2354,61.2372,60.6459,60.5307,61.1827,,,,
RRAGD,4.69152,4.31219,4.39159,3.7498,3.78218,3.67655,,,,
CDH6,0.000494578,0.00189041,0.000539112,0,0.000510998,0,,,,
ITGA7,0.352809,0.380096,0.369844,0.196323,0.193965,0.308568,,,,
SHBG,0.273488,0.275281,0.240536,0.249294,0.118007,0.157215,,,,
C14orf119,28.6209,29.1972,32.0545,31.5422,30.7138,30.3886,,,,
AGO3,3.20053,3.38486,2.90659,2.80341,2.94942,3.07343,,,,
RNASE1,2.15175,1.95441,2.40746,3.57686,3.58569,3.36226,,,,
TRPM2,0.0437701,0.0418254,0.054073,0.067772,0.0512531,0.0191706,,,,
OR2A20P,0.658495,0.712153,0.783961,0.753669,0.883985,0.729261,,,,
LOC101928388,0.00721922,0,0,0,0,0.0189714,,,,
PAXBP1-AS1,0.0483815,0.0693204,0.0659226,0.0627411,0.0624699,0.0325375,,,,
SLC25A24,31.31,29.5959,29.5802,32.0819,36.2823,37.999,,,,
MMP26,0,0,0,0,0,0,,,,
H2BFXP,1.31676,1.80477,1.53681,1.68497,1.37422,1.17091,,,,
TMBIM4,17.3239,17.2266,19.8754,17.0106,18.2235,19.3113,,,,
UBXN11,7.18239,7.92567,6.87361,7.79687,5.72604,6.37721,,,,
ADIPOR2,30.2883,28.6523,29.6752,36.1775,36.5164,35.8692,,,,
SERF1A,0.00242115,0.790861,0.00263164,0.00250135,0.00246823,0.00295341,,,,
LRRC20,17.3226,18.0632,17.0969,11.0549,11.1817,10.2381,,,,
SERTAD4,3.31663,3.52043,2.75402,2.30838,2.37309,2.5592,,,,
OR4S2,0,0,0,0,0,0,,,,
